0| |1270.7107,2554.4587,10.8203|-262.6306,1456.6377,1084.3672|534|1280.7711,2545.7627,10.4799,270.3476|26|0|4|0
1| |1344.6580,2608.6169,10.8203|224.2880,1289.0027,1082.1328|429|1353.4194,2599.3201,10.5474,180.3332|20|0|1|0
2| |1265.5009,2608.7122,10.8203|83.0779,1323.9667,1083.8594|429|1272.3376,2601.7422,10.4855,180.2742|20|0|9|0
3| |1313.7550,2608.7437,10.8203|2463.9368,-1698.4595,1013.5078|560|1322.7339,2599.8552,10.4454,180.2309|14|0|2|0
4| |1225.9828,2584.8420,10.8203|227.2596,1114.3514,1080.9979|567|1236.5383,2592.3313,10.5013,270.2470|38|0|5|0
5| |1224.2473,2616.8550,10.8203|2527.8386,-1679.3099,1015.4986|542|1236.3650,2609.4758,10.5202,271.2451|18|0|1|0
6| |1600.5798,2608.9248,10.8203|2350.339843,-1181.649902,1027.9766|451|1608.4093,2602.1611,10.6006,180.4419|16|0|5|0
7|FG.CreEmaR.507|1503.4086,2568.6677,10.8203|2324.419921,-1145.568359,1050.0000|411|1495.9929,2579.2866,11.1669,1.0634|28|10057290|12|0
8| |1359.5616,2566.4290,10.8203|224.8657,1240.0043,1082.1406|559|1366.6862,2577.4592,10.4766,0.0014|20|0|2|0
9|[FG]Majster|1407.0740,2524.4785,10.8203|295.5504,1473.7441,1080.2578|495|1395.0020,2529.8735,10.4425,88.8345|24|12|15|0
10| |1417.8885,2568.5220,10.8203|261.0368,1286.5402,1080.2578|429|1412.2711,2580.6548,10.5325,0.3637|18|0|4|0
11|[FG]Riogame1323|1515.9529,2608.6719,10.8203|-68.7216,1353.6740,1080.2109|589|1524.7585,2598.1724,10.6314,179.3279|10|0|6|0
12| |1535.1060,2609.1016,10.8203|-285.4230,1470.9763,1084.3750|451|1542.7678,2601.5100,10.9292,182.0067|18|0|15|0
13| |1554.4739,2609.6626,10.8203|-42.7088,1407.4736,1084.4297|522|1561.7528,2599.3201,10.7160,180.7961|16|0|8|0
14| |1441.7058,2568.7246,10.8203|964.4376,-53.1696,1001.1246|409|1434.6062,2579.8599,10.4217,358.6331|30|0|3|0
15|[GroveST]matan|1451.3527,2566.6003,10.8203|221.8656,1142.9839,1082.6094|411|1458.2124,2577.7761,10.7783,359.6650|16|0|4|0
16|FG.Adrianlisux.RSK|1551.5476,2568.2742,10.8203|226.1048,1023.7214,1084.0078|560|1546.0505,2580.5444,10.5307,359.4679|40|100190316|7|0
17| |1618.7175,2608.9646,10.8203|301.6964,306.0839,1003.5391|560|1626.4977,2601.7383,10.5531,179.5224|16|0|4|0
18| |1992.4014,921.0823,10.8203|444.5215,509.3539,1001.4195|560|1992.0203,929.9448,10.3990,269.4461|9|0|12|0
19| |1982.3571,920.9901,10.8203|267.2935,304.8200,999.1484|560|1982.0955,929.6143,10.2970,271.1608|8|0|2|0
20| |1972.3372,920.9048,10.8203|244.2455,305.1115,999.1484|562|1972.2225,929.7584,10.4782,270.2252|6|0|1|0
21| |1962.3651,920.5872,10.8203|322.0839,302.8305,999.1484|598|1962.5680,929.5995,10.4091,270.6295|8|0|5|0
22| |1952.3958,920.7699,10.8203|344.2968,305.1228,999.1484|411|1952.1735,929.6296,10.4430,269.7252|7|0|6|0
23| |1942.2791,920.7252,10.8203|292.3326,310.1513,999.1484|560|1942.2887,929.6839,10.2739,270.7743|5|0|3|0
24|[FG]san54|1570.3679,2712.0222,10.8203|140.3888,1368.2179,1083.8625|477|1562.8060,2723.3267,10.5454,0.0552|30|280|5|1
25|[FG]Blood[RSK]|1627.1298,2711.6121,10.8203|22.8610,1404.9165,1084.4297|560|1622.1685,2716.3855,10.4799,0.5976|24|1185|5|1
26| ||1652.3748,2709.8352,10.8203|83.0779,1323.9667,1083.8594|541|1659.3868,2722.8557,10.5940,0.5471|0|0|9|1
